segment_id,system_type,corridor_name,district,pipe_material,diameter_inches,length_ft,depth_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,soil_corrosivity,capacity_utilization_pct,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
PIPE-0356,Sewer,15th St,North End,Vitrified Clay,12,1889,14.4,1931,95,5,4,0.72,92.9,High,890011,2024-10-31,Manhole Inspection,43.674591,-116.208747
PIPE-0357,Water,Warm Springs Ave,East Bench,Cast Iron,16,721,4.1,1937,89,5,10,0.45,,Low,230378,2024-12-19,Visual,43.605193,-116.159507
PIPE-0358,Sewer,Myrtle St,Downtown,Concrete,30,2203,14.3,1951,75,65,1,0.78,54.1,Medium,675581,2025-01-31,CCTV,43.609173,-116.22
PIPE-0359,Water,Gowen Rd,Southeast,PVC,4,2127,4.7,1987,39,86,0,0.55,,Low,172094,2023-08-23,Visual,43.544401,-116.157663
PIPE-0360,Pressurized Irrigation,Amity Rd,Southwest,PVC PR-SDR,8,1179,4.6,2004,22,90,0,0.6,58.0,Low,129588,2023-08-25,Visual,43.553886,-116.307742
PIPE-0361,Sewer,Broadway Ave,Southeast,PVC,48,205,11.7,1984,42,82,0,0.55,60.0,Medium,204006,2025-06-20,Manhole Inspection,43.595,-116.190576
PIPE-0362,Sewer,Bannock St,Downtown,Concrete,42,1690,17.4,1957,69,60,0,0.78,52.7,Medium,407162,2024-08-01,CCTV,43.615328,-116.22
PIPE-0363,Water,State St,West Boise,HDPE,36,1059,4.3,2015,11,80,0,0.5,,Medium,172501,2023-04-15,Pressure Test,43.638519,-116.259129
PIPE-0364,Stormwater,Amity Rd,Southwest,HDPE,15,971,6.5,2008,18,95,0,0.6,19.5,Low,203682,2023-01-01,CCTV,43.555351,-116.27837
PIPE-0365,Pressurized Irrigation,Ustick Rd,West Boise,PVC PR-SDR,12,740,2.6,2006,20,97,0,0.5,79.0,High,56940,2024-02-03,Valve Inspection,43.632843,-116.30639
PIPE-0366,Water,Fairview Ave,West Boise,PVC,30,2023,6.6,2018,8,86,0,0.5,,High,562064,2024-12-27,Visual,43.615748,-116.28962
PIPE-0367,Sewer,Cole Rd,West Boise,PVC,15,946,18.3,2019,7,100,0,0.5,34.1,High,233708,2022-10-08,CCTV,43.655,-116.253964
PIPE-0368,Sewer,Eagle Rd,West Boise,PVC,18,805,11.0,2005,21,94,0,0.5,8.6,Critical,150230,2022-11-10,Manhole Inspection,43.614833,-116.353761
PIPE-0369,Stormwater,Milwaukee St,Southeast,Corrugated Metal,30,802,4.3,1985,41,44,2,0.55,55.9,Medium,101531,2024-09-07,Dye Test,43.588966,-116.2
PIPE-0370,Sewer,Vista Ave,Southeast,Vitrified Clay,18,425,20.6,1960,66,17,2,0.55,69.7,Low,220549,2023-09-17,Smoke Test,43.583652,-116.2
PIPE-0371,Sewer,Cole Rd,Southwest,Concrete,36,2295,8.0,1975,51,64,0,0.6,72.9,Medium,844191,2025-06-06,Smoke Test,43.6,-116.253549
PIPE-0372,Sewer,Franklin Rd,West Boise,HDPE,48,1902,24.4,2013,13,97,0,0.5,35.7,High,1324807,2022-12-23,Manhole Inspection,43.608822,-116.306909
PIPE-0373,Water,Idaho St,Downtown,Cast Iron,20,562,4.1,1962,64,18,5,0.78,,High,227890,2024-03-24,Pressure Test,43.61104,-116.190896
PIPE-0374,Water,Cole Rd,Southwest,PVC,24,1119,4.1,1990,36,91,0,0.6,,Medium,390396,2024-07-19,Acoustic Leak Detection,43.54,-116.258985
PIPE-0375,Sewer,9th St,Downtown,Vitrified Clay,24,473,13.7,1942,84,14,2,0.78,100.0,Critical,274881,2024-06-19,Smoke Test,43.620911,-116.199829
PIPE-0376,Sewer,Fairview Ave,West Boise,PVC,10,1509,6.1,1988,38,84,2,0.5,40.4,Critical,169486,2024-11-01,Smoke Test,43.615766,-116.279537
PIPE-0377,Pressurized Irrigation,Eisenman Rd,Southeast,PVC PR-SDR,6,2427,4.2,2012,14,93,0,0.55,45.1,High,111067,2024-05-05,Flow Monitoring,43.54,-116.171103
PIPE-0378,Water,Cole Rd,Southwest,PVC,16,867,3.9,1981,45,78,0,0.6,,Low,295664,2025-04-13,Ultrasonic,43.540193,-116.258073
PIPE-0379,Sewer,Five Mile Rd,Southwest,Vitrified Clay,8,737,12.3,1959,67,28,5,0.6,80.5,Critical,262949,2025-04-04,Smoke Test,43.6,-116.295123
PIPE-0380,Sewer,Jefferson St,Downtown,Vitrified Clay,48,1128,13.5,1934,92,5,1,0.78,80.7,Critical,689095,2023-01-16,CCTV,43.614845,-116.22
PIPE-0381,Sewer,Maple Grove Rd,Southwest,Concrete,15,377,20.6,1962,64,45,2,0.6,63.3,Low,71465,2024-05-13,Manhole Inspection,43.5403,-116.274994
PIPE-0382,Water,Vista Ave,Southeast,Ductile Iron,30,1190,6.3,1965,61,70,1,0.55,,Medium,623727,2024-09-20,Ultrasonic,43.575393,-116.2
PIPE-0383,Water,Broadway Ave,Southeast,Ductile Iron,24,639,4.5,1966,60,38,0,0.55,,Medium,300553,2024-04-21,Acoustic Leak Detection,43.542468,-116.188871
PIPE-0384,Water,Myrtle St,Downtown,Cast Iron,24,673,5.9,1945,81,5,10,0.78,,Medium,173872,2023-04-03,Pressure Test,43.606309,-116.203444
PIPE-0385,Sewer,Harrison Blvd,North End,Vitrified Clay,42,2213,18.5,1925,101,5,11,0.72,100.0,Critical,2064626,2023-11-19,Smoke Test,43.656768,-116.200622
PIPE-0386,Water,Shaw Mountain Rd,East Bench,Ductile Iron,36,1855,5.9,1967,59,64,2,0.45,,High,490403,2023-08-27,Ultrasonic,43.58991,-116.141476
PIPE-0387,Water,Overland Rd,Southwest,Ductile Iron,8,2062,5.0,1972,54,46,2,0.6,,Medium,171058,2024-02-02,Visual,43.585648,-116.289945
PIPE-0388,Water,Parkcenter Blvd,East Bench,Cast Iron,6,2329,3.8,1961,65,25,3,0.45,,Critical,329964,2023-07-05,Acoustic Leak Detection,43.618406,-116.175
PIPE-0389,Water,Overland Rd,Southeast,Ductile Iron,16,1741,3.7,1983,43,53,4,0.55,,Low,242411,2022-09-24,Ultrasonic,43.587655,-116.2
PIPE-0390,Stormwater,Cloverdale Rd,West Boise,PVC,72,2124,8.9,2019,7,80,0,0.5,64.8,Critical,1461695,2025-09-01,Visual,43.618073,-116.333874
PIPE-0391,Water,Broadway Ave,Southeast,Ductile Iron,36,310,4.5,1977,49,50,1,0.55,,Critical,50782,2025-07-21,Pressure Test,43.589216,-116.187249
PIPE-0392,Sewer,9th St,Downtown,Vitrified Clay,10,280,13.4,1946,80,14,7,0.78,74.6,Medium,75770,2024-02-11,CCTV,43.616073,-116.201776
PIPE-0393,Sewer,Cole Rd,Southwest,Orangeburg,48,1043,11.8,1961,65,37,4,0.6,52.7,Medium,648186,2022-12-01,Smoke Test,43.558877,-116.255983
PIPE-0394,Water,Federal Way,East Bench,Asbestos Cement,4,1417,3.9,1971,55,14,6,0.45,,Medium,113699,2024-09-29,Pressure Test,43.599977,-116.165838
PIPE-0395,Pressurized Irrigation,Eisenman Rd,Southeast,PVC PR-SDR,8,2267,4.1,2013,13,93,0,0.55,47.4,Low,83880,2024-11-15,Valve Inspection,43.57433,-116.170403
PIPE-0396,Water,Hill Rd,North End,Asbestos Cement,12,2382,6.6,1954,72,19,2,0.72,,Low,319604,2023-08-15,Pressure Test,43.661854,-116.186778
PIPE-0397,Sewer,Idaho St,Downtown,Concrete,12,1889,18.7,1965,61,53,1,0.78,59.6,Medium,209833,2023-06-23,Flow Monitoring,43.612602,-116.219036
PIPE-0398,Water,State St,West Boise,PVC,10,852,6.2,1987,39,94,0,0.5,,Low,73202,2024-02-29,Pressure Test,43.635636,-116.317669
PIPE-0399,Sewer,Idaho St,Downtown,Vitrified Clay,18,569,9.7,1951,75,24,6,0.78,100.0,Medium,245529,2023-02-20,CCTV,43.613381,-116.175
PIPE-0400,Sewer,Bogus Basin Rd,North End,Vitrified Clay,8,1483,20.0,1963,63,14,6,0.72,89.7,High,221937,2025-08-10,Flow Monitoring,43.658171,-116.191627
PIPE-0401,Water,Curtis Rd,Southwest,PVC,6,1496,4.0,1978,48,70,0,0.6,,Low,255537,2025-09-22,Acoustic Leak Detection,43.58366,-116.222151
PIPE-0402,Water,Ten Mile Rd,West Boise,PVC,12,2463,5.8,2000,26,70,1,0.5,,Low,354236,2024-06-27,Pressure Test,43.605775,-116.315166
PIPE-0403,Sewer,Myrtle St,Downtown,Concrete,15,1061,11.3,1940,86,48,5,0.78,68.4,Medium,242417,2023-08-10,Manhole Inspection,43.609157,-116.22
PIPE-0404,Water,Cole Rd,West Boise,PVC,6,856,4.4,2012,14,95,1,0.5,,Medium,142055,2025-02-27,Acoustic Leak Detection,43.640879,-116.255962
PIPE-0405,Stormwater,Overland Rd,Southwest,Concrete,30,1485,12.2,1967,59,65,1,0.6,61.6,Medium,315500,2025-03-04,Flow Monitoring,43.588455,-116.301134
PIPE-0406,Water,Harrison Blvd,North End,Asbestos Cement,16,1354,3.7,1962,64,21,1,0.72,,Medium,213234,2025-06-03,Ultrasonic,43.626,-116.200513
PIPE-0407,Water,Fort St,North End,Cast Iron,8,403,4.0,1941,85,7,8,0.72,,Medium,39607,2023-02-24,Acoustic Leak Detection,43.637406,-116.210688
PIPE-0408,Stormwater,Boise Ave,East Bench,Reinforced Concrete Box,24,1290,10.2,1968,58,64,1,0.45,50.5,High,244708,2024-04-17,Flow Monitoring,43.598728,-116.172467
PIPE-0409,Water,Bogus Basin Rd,North End,Asbestos Cement,24,1217,4.8,1964,62,25,5,0.72,,Medium,442109,2024-06-26,Acoustic Leak Detection,43.659786,-116.187629
PIPE-0410,Sewer,8th St,Downtown,Concrete,6,413,24.9,1960,66,50,1,0.78,71.4,Medium,135225,2024-03-23,Flow Monitoring,43.6,-116.198591
PIPE-0411,Sewer,Eagle Rd,West Boise,PVC,10,2491,14.9,2008,18,91,0,0.5,62.5,Medium,899390,2025-03-16,Flow Monitoring,43.6,-116.355924
PIPE-0412,Water,Warm Springs Ave,East Bench,Cast Iron,20,1358,6.3,1948,78,5,4,0.45,,High,209724,2023-06-15,Acoustic Leak Detection,43.610417,-116.175
PIPE-0413,Sewer,Fort St,North End,Vitrified Clay,6,1141,14.3,1934,92,5,7,0.72,68.1,Medium,258799,2025-04-16,Smoke Test,43.636099,-116.20738
PIPE-0414,Water,9th St,Downtown,Cast Iron,6,1034,3.7,1947,79,5,4,0.78,,Medium,201908,2023-08-03,Acoustic Leak Detection,43.626,-116.200916
PIPE-0415,Sewer,Bogus Basin Rd,North End,Concrete,42,586,18.6,1956,70,54,2,0.72,51.1,Medium,484096,2023-03-26,Flow Monitoring,43.68,-116.213962
PIPE-0416,Water,Chinden Blvd,West Boise,PVC,36,223,5.5,2002,24,83,0,0.5,,Medium,124602,2024-05-02,Pressure Test,43.651977,-116.346492
PIPE-0417,Water,Bannock St,Downtown,Cast Iron,30,1762,4.0,1929,97,5,4,0.78,,Medium,369630,2025-01-21,Acoustic Leak Detection,43.610555,-116.219587
PIPE-0418,Sewer,Parkcenter Blvd,East Bench,Concrete,21,1470,6.9,1986,40,73,1,0.45,74.6,High,476499,2023-07-21,Manhole Inspection,43.626,-116.175
PIPE-0419,Stormwater,Warm Springs Ave,East Bench,Concrete,42,580,11.2,1952,74,43,1,0.45,96.3,Medium,175977,2023-03-30,Flow Monitoring,43.605243,-116.175
PIPE-0420,Pressurized Irrigation,Amity Rd,Southwest,PVC PR-SDR,8,1218,2.8,1997,29,89,0,0.6,51.8,High,109898,2024-06-29,Pressure Test,43.553139,-116.291361
PIPE-0421,Sewer,Overland Rd,Southwest,Concrete,8,2095,6.7,1956,70,57,2,0.6,32.4,Medium,519893,2024-11-14,Smoke Test,43.586077,-116.295423
PIPE-0422,Sewer,Harrison Blvd,North End,Vitrified Clay,48,1262,5.1,1930,96,5,6,0.72,62.4,High,988881,2023-03-12,Manhole Inspection,43.672729,-116.202362
PIPE-0423,Stormwater,Maple Grove Rd,Southwest,Reinforced Concrete Box,30,558,14.6,1980,46,65,1,0.6,90.2,Medium,157642,2022-11-25,Visual,43.545007,-116.278917
PIPE-0424,Water,Myrtle St,Downtown,Cast Iron,24,806,3.7,1944,82,5,7,0.78,,High,227236,2023-09-22,Acoustic Leak Detection,43.606844,-116.22
PIPE-0425,Water,Shaw Mountain Rd,East Bench,Cast Iron,6,1968,5.9,1955,71,9,3,0.45,,Low,341510,2023-03-09,Visual,43.624179,-116.141055
PIPE-0426,Sewer,Cole Rd,West Boise,Concrete,30,277,22.9,1988,38,64,0,0.5,49.0,Critical,202875,2024-04-22,Smoke Test,43.61876,-116.257105
PIPE-0427,Pressurized Irrigation,State St,West Boise,PVC PR-SDR,10,1150,4.3,2004,22,93,0,0.5,76.3,Medium,89659,2023-11-26,Valve Inspection,43.637046,-116.272987
PIPE-0428,Stormwater,Hill Rd,North End,Concrete,24,1356,4.9,1964,62,64,0,0.72,90.3,Medium,283646,2025-10-26,Flow Monitoring,43.661144,-116.23
PIPE-0429,Sewer,Eastman St,North End,Concrete,42,849,21.1,1947,79,48,1,0.72,83.5,Medium,523922,2025-08-29,Manhole Inspection,43.639048,-116.174243
PIPE-0430,Stormwater,Harrison Blvd,North End,Concrete,72,626,13.1,1957,69,61,1,0.72,67.1,Medium,365651,2025-09-08,CCTV,43.659512,-116.19744
PIPE-0431,Sewer,Broadway Ave,Downtown,Concrete,12,1681,15.1,1962,64,71,1,0.78,50.1,Medium,393090,2023-08-04,CCTV,43.6,-116.189247
PIPE-0432,Sewer,Bogus Basin Rd,North End,Vitrified Clay,18,1374,20.1,1955,71,27,2,0.72,92.3,Low,650802,2023-08-09,Flow Monitoring,43.665201,-116.211591
PIPE-0433,Water,Five Mile Rd,Southwest,PVC,16,321,5.9,1988,38,85,0,0.6,,Critical,67750,2025-01-27,Acoustic Leak Detection,43.570406,-116.293379
PIPE-0434,Sewer,Chinden Blvd,West Boise,PVC,15,1917,11.1,2018,8,90,0,0.5,35.0,Low,442797,2023-06-03,Smoke Test,43.652412,-116.29553
PIPE-0435,Water,Curtis Rd,Southwest,PVC,16,1856,3.3,1983,43,85,0,0.6,,Medium,660131,2024-03-03,Pressure Test,43.6,-116.219714
PIPE-0436,Water,Chinden Blvd,West Boise,Ductile Iron,4,314,4.0,1995,31,72,0,0.5,,Medium,51647,2025-03-24,Acoustic Leak Detection,43.655,-116.306805
PIPE-0437,Water,State St,West Boise,Ductile Iron,24,1420,4.4,1992,34,52,0,0.5,,Critical,527130,2024-03-30,Pressure Test,43.637435,-116.319583
PIPE-0438,Stormwater,Ten Mile Rd,West Boise,PVC,42,2328,12.3,1993,33,91,0,0.5,19.4,Medium,611684,2025-03-11,Dye Test,43.634001,-116.318369
PIPE-0439,Sewer,Hill Rd,North End,Orangeburg,8,1712,20.6,1953,73,8,4,0.72,84.6,Low,751177,2023-08-02,Smoke Test,43.661061,-116.22278
PIPE-0440,Sewer,Fairview Ave,Downtown,Concrete,10,2185,22.3,1957,69,52,3,0.78,86.5,Low,818681,2023-08-19,CCTV,43.617267,-116.22
PIPE-0441,Water,9th St,Downtown,Cast Iron,36,1386,4.5,1948,78,5,3,0.78,,Medium,699978,2024-05-01,Visual,43.6,-116.20108
PIPE-0442,Stormwater,Warm Springs Ave,East Bench,Concrete,12,701,6.7,1956,70,45,0,0.45,79.0,High,153201,2025-02-22,Dye Test,43.608285,-116.175
PIPE-0443,Water,Victory Rd,Southeast,Ductile Iron,8,1532,5.5,1983,43,61,1,0.55,,High,124531,2024-12-28,Acoustic Leak Detection,43.567536,-116.185018
PIPE-0444,Water,Amity Rd,Southwest,PVC,30,707,6.8,2004,22,92,0,0.6,,High,240482,2022-12-09,Visual,43.553863,-116.308188
PIPE-0445,Water,Capitol Blvd,Downtown,Cast Iron,10,1204,5.3,1942,84,5,9,0.78,,High,270491,2025-10-14,Pressure Test,43.626,-116.198966
PIPE-0446,Sewer,Overland Rd,Southeast,Concrete,8,669,8.7,1971,55,57,2,0.55,64.5,High,218676,2025-08-05,Manhole Inspection,43.590879,-116.191658
PIPE-0447,Water,Overland Rd,Southeast,Cast Iron,16,783,4.5,1961,65,12,5,0.55,,Medium,248246,2025-04-11,Pressure Test,43.587477,-116.2
PIPE-0448,Sewer,Bannock St,Downtown,Vitrified Clay,24,2465,9.7,1945,81,11,4,0.78,64.2,Low,1240518,2024-03-19,Flow Monitoring,43.612442,-116.201266
PIPE-0449,Stormwater,Amity Rd,Southwest,Concrete,60,1033,5.9,1990,36,74,1,0.6,47.0,Medium,171245,2024-04-19,Visual,43.554697,-116.303611
PIPE-0450,Water,Main St,Downtown,Cast Iron,24,1319,4.5,1928,98,5,8,0.78,,High,390678,2023-09-15,Acoustic Leak Detection,43.615587,-116.175
PIPE-0451,Pressurized Irrigation,Amity Rd,Southwest,PVC PR-SDR,12,1344,4.9,2016,10,90,0,0.6,45.9,Medium,94122,2024-02-13,Flow Monitoring,43.55527,-116.298132
PIPE-0452,Sewer,Hill Rd,North End,Concrete,36,1545,5.0,1954,72,55,3,0.72,66.6,Medium,704915,2022-11-26,CCTV,43.657095,-116.199652
PIPE-0453,Sewer,State St,West Boise,PVC,30,326,7.5,1989,37,76,0,0.5,71.7,Medium,127869,2025-03-22,Flow Monitoring,43.639355,-116.254715
PIPE-0454,Sewer,Broadway Ave,Southeast,Concrete,24,238,23.4,1967,59,58,0,0.55,71.7,Medium,71621,2023-11-20,CCTV,43.545722,-116.190881
PIPE-0455,Sewer,Warm Springs Ave,East Bench,Vitrified Clay,48,1056,7.2,1956,70,12,5,0.45,90.7,High,389892,2024-12-08,CCTV,43.605043,-116.126259
PIPE-0456,Stormwater,Cole Rd,West Boise,Concrete,15,721,12.4,1993,33,79,0,0.5,59.3,High,150629,2022-10-12,Dye Test,43.60577,-116.255581
PIPE-0457,Stormwater,Main St,Downtown,Corrugated Metal,12,1523,8.6,1952,74,19,10,0.78,100.0,Medium,156357,2023-05-28,Flow Monitoring,43.614595,-116.175
PIPE-0458,Water,Main St,Downtown,Cast Iron,10,1570,3.1,1950,76,5,6,0.78,,Medium,147725,2025-05-18,Acoustic Leak Detection,43.612491,-116.194254
PIPE-0459,Water,Maple Grove Rd,Southwest,PVC,4,1569,4.9,1982,44,93,0,0.6,,Medium,262709,2025-05-21,Ultrasonic,43.6,-116.277517
PIPE-0460,Stormwater,Cole Rd,West Boise,Concrete,15,448,12.4,1992,34,69,1,0.5,43.1,High,85964,2025-08-10,CCTV,43.655,-116.256736
PIPE-0461,Water,Federal Way,East Bench,Ductile Iron,20,592,6.5,1979,47,66,0,0.45,,High,150733,2025-10-10,Ultrasonic,43.597704,-116.165111
PIPE-0462,Sewer,Orchard St,Southwest,PVC,36,988,16.9,1976,50,70,0,0.6,71.1,High,515856,2024-11-17,Smoke Test,43.553641,-116.234926
PIPE-0463,Stormwater,I-184 Corridor,Downtown,Concrete,12,722,6.7,1957,69,49,0,0.78,70.5,Medium,85663,2025-11-16,Visual,43.60787,-116.219132
PIPE-0464,Sewer,Bannock St,Downtown,Vitrified Clay,30,2491,9.0,1940,86,5,3,0.78,76.8,High,1408415,2024-01-24,Manhole Inspection,43.615152,-116.206235
PIPE-0465,Sewer,McMillan Rd,West Boise,PVC,21,1546,5.8,2004,22,79,0,0.5,61.0,Low,377191,2024-01-24,Flow Monitoring,43.640974,-116.313656
PIPE-0466,Pressurized Irrigation,Fairview Ave,West Boise,PVC PR-SDR,6,227,3.0,2005,21,92,0,0.5,59.7,High,8053,2024-12-11,Visual,43.615177,-116.329102
PIPE-0467,Sewer,Eastman St,North End,Vitrified Clay,18,2471,10.2,1936,90,13,5,0.72,63.4,High,1055359,2023-05-13,Smoke Test,43.639476,-116.227321
PIPE-0468,Water,Broadway Ave,Southeast,Ductile Iron,8,2358,6.5,1978,48,70,1,0.55,,Medium,683771,2023-07-07,Visual,43.595,-116.185014
PIPE-0469,Sewer,Front St,Downtown,Vitrified Clay,36,974,9.9,1964,62,24,0,0.78,89.2,Medium,508125,2023-04-14,CCTV,43.608127,-116.22
PIPE-0470,Stormwater,Hill Rd,North End,Corrugated Metal,42,2285,9.3,1957,69,23,12,0.72,90.7,Low,739902,2025-09-19,Visual,43.659246,-116.213489
PIPE-0471,Pressurized Irrigation,Fairview Ave,West Boise,PVC PR-SDR,6,2051,4.8,2021,5,95,0,0.5,64.4,Medium,82818,2023-12-13,Visual,43.618179,-116.303328
PIPE-0472,Sewer,Fairview Ave,West Boise,PVC,24,2298,13.2,1987,39,92,0,0.5,61.4,Medium,537005,2025-06-17,Manhole Inspection,43.616727,-116.300912
PIPE-0473,Sewer,Overland Rd,Southwest,Ductile Iron,30,520,6.4,1987,39,75,0,0.6,95.3,Medium,185542,2024-05-19,Smoke Test,43.589715,-116.235872
PIPE-0474,Sewer,Cole Rd,West Boise,PVC,48,2424,21.4,1993,33,86,0,0.5,47.3,High,1673824,2025-01-31,Flow Monitoring,43.655,-116.258949
PIPE-0475,Sewer,15th St,North End,Vitrified Clay,48,1059,20.2,1939,87,5,5,0.72,87.4,Medium,496118,2024-09-29,Flow Monitoring,43.642955,-116.207905
PIPE-0476,Sewer,Victory Rd,Southeast,Ductile Iron,6,1734,19.8,1990,36,78,3,0.55,40.1,Low,270436,2022-11-27,Manhole Inspection,43.567834,-116.1651
PIPE-0477,Sewer,Boise Ave,East Bench,Vitrified Clay,36,331,11.6,1956,70,19,4,0.45,58.7,High,254359,2022-12-04,Flow Monitoring,43.602533,-116.175
PIPE-0478,Water,Fort St,North End,Asbestos Cement,6,1546,6.6,1955,71,17,7,0.72,,Critical,112390,2023-10-04,Pressure Test,43.638417,-116.208877
PIPE-0479,Water,Hill Rd,North End,Cast Iron,12,2347,5.1,1939,87,5,5,0.72,,Critical,287271,2024-10-06,Visual,43.65742,-116.23
PIPE-0480,Pressurized Irrigation,Fairview Ave,West Boise,PVC PR-SDR,10,2144,3.6,2002,24,95,0,0.5,45.0,Medium,263415,2024-07-15,Flow Monitoring,43.613953,-116.288993
PIPE-0481,Water,Amity Rd,Southwest,PVC,24,2095,4.2,2016,10,91,0,0.6,,Critical,775395,2024-07-10,Visual,43.553457,-116.256017
PIPE-0482,Water,McMillan Rd,West Boise,PVC,24,1775,5.3,2012,14,89,1,0.5,,Medium,760520,2024-09-14,Ultrasonic,43.645465,-116.335324
PIPE-0483,Pressurized Irrigation,Chinden Blvd,West Boise,PVC PR-SDR,12,696,3.6,2017,9,90,0,0.5,45.8,Medium,33443,2023-05-02,Valve Inspection,43.655,-116.343877
PIPE-0484,Water,Shaw Mountain Rd,East Bench,Ductile Iron,10,1824,5.8,1980,46,71,0,0.45,,Medium,350741,2023-04-13,Pressure Test,43.586511,-116.164976
PIPE-0485,Water,Broadway Ave,Downtown,Ductile Iron,4,611,6.0,1965,61,46,1,0.78,,Low,71408,2022-12-08,Visual,43.6,-116.190255
PIPE-0486,Water,Victory Rd,Southeast,Cast Iron,30,621,3.2,1958,68,17,3,0.55,,High,316339,2025-11-03,Pressure Test,43.569344,-116.2
PIPE-0487,Water,Fort St,North End,Cast Iron,10,595,3.7,1929,97,5,6,0.72,,Medium,94145,2023-07-10,Acoustic Leak Detection,43.639782,-116.178564
PIPE-0488,Sewer,15th St,North End,Vitrified Clay,8,1660,5.2,1938,88,8,5,0.72,98.3,Low,308788,2023-08-14,Manhole Inspection,43.630869,-116.21091
PIPE-0489,Stormwater,Franklin Rd,West Boise,PVC,15,2396,4.1,2016,10,97,0,0.5,35.0,High,615472,2024-12-08,Flow Monitoring,43.608748,-116.256222
PIPE-0490,Water,Eagle Rd,West Boise,PVC,6,1572,4.8,2015,11,99,0,0.5,,High,348362,2024-08-05,Ultrasonic,43.6,-116.351527
PIPE-0491,Sewer,Bogus Basin Rd,North End,Concrete,8,445,12.5,1964,62,55,2,0.72,96.6,High,194006,2024-02-21,CCTV,43.650502,-116.195051
PIPE-0492,Sewer,Orchard St,Southwest,Concrete,42,1381,11.9,1981,45,65,1,0.6,54.6,Critical,1299750,2023-10-13,Manhole Inspection,43.6,-116.233626
PIPE-0493,Sewer,Harrison Blvd,North End,Concrete,42,224,6.0,1953,73,71,0,0.72,75.1,Critical,72126,2023-01-28,CCTV,43.626,-116.20005
PIPE-0494,Sewer,Eisenman Rd,Southeast,PVC,15,872,10.0,2014,12,84,0,0.55,47.2,Low,198407,2023-09-09,Flow Monitoring,43.567734,-116.17153
PIPE-0495,Water,Broadway Ave,Downtown,Ductile Iron,24,1931,6.0,1985,41,58,1,0.78,,High,480543,2025-01-24,Visual,43.612423,-116.18659
PIPE-0496,Pressurized Irrigation,Ustick Rd,West Boise,HDPE,10,1452,3.7,2005,21,85,0,0.5,49.7,Low,129768,2023-03-02,Valve Inspection,43.632722,-116.309988
PIPE-0497,Stormwater,Orchard St,Southwest,Concrete,36,1773,3.5,1980,46,59,0,0.6,81.2,High,295512,2023-12-20,Dye Test,43.584164,-116.231154
PIPE-0498,Stormwater,Maple Grove Rd,Southwest,Corrugated Metal,42,1936,10.6,1958,68,17,5,0.6,69.6,Low,403346,2024-06-30,Visual,43.593853,-116.277546
PIPE-0499,Stormwater,Franklin Rd,West Boise,PVC,18,250,11.5,2022,4,100,0,0.5,27.1,Medium,66800,2024-03-24,Dye Test,43.6047,-116.322616
PIPE-0500,Sewer,Fairview Ave,West Boise,Ductile Iron,48,1885,7.2,2004,22,74,0,0.5,23.1,Medium,813991,2025-11-19,Smoke Test,43.617515,-116.261054
PIPE-0501,Water,Cole Rd,Southwest,Asbestos Cement,6,486,4.7,1955,71,15,4,0.6,,High,51938,2022-09-28,Visual,43.593899,-116.256493
PIPE-0502,Sewer,Harrison Blvd,North End,Vitrified Clay,6,948,22.4,1937,89,14,2,0.72,71.4,High,275631,2025-07-24,Manhole Inspection,43.667734,-116.201849
PIPE-0503,Water,Capitol Blvd,Downtown,Cast Iron,10,2157,3.0,1962,64,23,3,0.78,,Medium,594255,2023-01-02,Pressure Test,43.609816,-116.199437
PIPE-0504,Sewer,Cole Rd,Southwest,PVC,18,1959,11.3,1985,41,86,0,0.6,32.0,Low,795945,2025-11-26,Flow Monitoring,43.558924,-116.254909
PIPE-0505,Water,Ten Mile Rd,West Boise,PVC,8,305,4.1,2010,16,88,0,0.5,,High,66282,2024-02-12,Acoustic Leak Detection,43.623153,-116.313786
PIPE-0506,Sewer,Chinden Blvd,West Boise,PVC,6,1533,19.8,2008,18,87,0,0.5,19.7,Low,599103,2025-05-11,Flow Monitoring,43.654068,-116.331315
PIPE-0507,Sewer,Federal Way,East Bench,Concrete,48,786,19.3,1967,59,63,0,0.45,52.0,High,707807,2023-06-03,CCTV,43.599219,-116.127901
PIPE-0508,Sewer,Maple Grove Rd,Southwest,Concrete,12,1196,6.8,1989,37,70,0,0.6,72.0,High,564017,2024-06-23,Flow Monitoring,43.551931,-116.27448
PIPE-0509,Water,Eagle Rd,West Boise,PVC,8,2389,6.2,1992,34,98,0,0.5,,Low,692585,2023-10-13,Ultrasonic,43.635684,-116.354048
PIPE-0510,Water,15th St,North End,Cast Iron,12,673,4.4,1939,87,5,14,0.72,,Low,157930,2024-03-06,Acoustic Leak Detection,43.628278,-116.210332
PIPE-0511,Stormwater,Cole Rd,West Boise,HDPE,24,1789,12.6,2019,7,84,0,0.5,17.0,Medium,328726,2025-02-09,Flow Monitoring,43.655,-116.257082
PIPE-0512,Sewer,15th St,North End,Vitrified Clay,42,2066,22.0,1956,70,29,4,0.72,69.6,Medium,1181353,2023-03-29,Smoke Test,43.626,-116.2093
PIPE-0513,Water,Cole Rd,Southwest,Ductile Iron,20,440,6.3,1973,53,48,2,0.6,,High,146826,2023-09-22,Pressure Test,43.6,-116.257001
